symbol,date,time,open,high,low,close,volume,amt
510300.SH,2021/3/25,15:00,4.830615876,4.874924419,4.812892458,4.853262465,284908656,1402397536
510300.SH,2021/3/26,15:00,4.873939785,4.978311021,4.870001248,4.955664432,556534944,2790146480
510300.SH,2021/3/29,15:00,4.967480044,5.001942244,4.928094672,4.965510775,639256768,3229920080
510300.SH,2021/3/30,15:00,4.962556872,5.025573467,4.952710529,5.008834684,268283890,1361536032
510300.SH,2021/3/31,15:00,5.004896147,5.005880781,4.935971746,4.972403215,230812676,1163103568
510300.SH,2021/4/1,15:00,4.978311021,5.041327616,4.974372484,5.033450542,322996432,1641836112
510300.SH,2021/4/2,15:00,5.051173959,5.086620794,5.030496639,5.081697622,280334640,1440678160
510300.SH,2021/4/6,15:00,5.093513234,5.097451771,5.041327616,5.054127862,234635544,1206265184
510300.SH,2021/4/7,15:00,5.059051033,5.061020302,4.989141998,5.019665661,175217273,891976448
510300.SH,2021/4/8,15:00,5.002926878,5.051173959,4.979295655,5.030496639,140755921,718026032
510300.SH,2021/4/9,15:00,5.016711759,5.016711759,4.947787358,4.960587603,222329800,1122455296
510300.SH,2021/4/12,15:00,4.948771992,4.971418581,4.861139539,4.877878322,663938240,3300299232
510300.SH,2021/4/13,15:00,4.870001248,4.917263694,4.853262465,4.870985882,453545248,2247446208
510300.SH,2021/4/14,15:00,4.875909054,4.912340523,4.867047345,4.898555643,527184208,2620909280
510300.SH,2021/4/15,15:00,4.883786128,4.8887093,4.818800264,4.870985882,493540704,2431754048
510300.SH,2021/4/16,15:00,4.882801494,4.898555643,4.842431487,4.886740031,499894032,2476638368
510300.SH,2021/4/19,15:00,4.882801494,5.018681027,4.860154905,5.010803953,567369232,2864077168
510300.SH,2021/4/20,15:00,4.993080535,5.037389079,4.984218827,5.002926878,369851552,1882537200
510300.SH,2021/4/21,15:00,4.971418581,5.029512004,4.969449312,5.01474249,414321360,2104768800
510300.SH,2021/4/22,15:00,5.022619564,5.039358347,4.98717273,5.010803953,448399168,2279984128
510300.SH,2021/4/23,15:00,5.002926878,5.070866645,5.002926878,5.061020302,322992624,1656258288
510300.SH,2021/4/26,15:00,5.071851279,5.111236651,4.993080535,4.998003707,538061632,2762169536
510300.SH,2021/4/27,15:00,5.001942244,5.019665661,4.975357118,5.010803953,317792608,1612968576
510300.SH,2021/4/28,15:00,4.993080535,5.051173959,4.978311021,5.048220056,301245968,1535175280
510300.SH,2021/4/29,15:00,5.04920469,5.100405674,5.041327616,5.093513234,380984480,1964024096
510300.SH,2021/4/30,15:00,5.081697622,5.0925286,5.015727124,5.04920469,404241296,2075946592
510300.SH,2021/5/6,15:00,5.030496639,5.062989571,4.957633701,4.983234192,407574560,2073197360
510300.SH,2021/5/7,15:00,4.995049804,5.018681027,4.919232963,4.9231715,338289248,1705351376
510300.SH,2021/5/10,15:00,4.927110037,4.947787358,4.878862957,4.922186866,369199152,1843018240
510300.SH,2021/5/11,15:00,4.890678568,4.966495409,4.856216368,4.947787358,397926528,1985720800
510300.SH,2021/5/12,15:00,4.93695638,4.985203461,4.919232963,4.978311021,253971232,1277881520
510300.SH,2021/5/13,15:00,4.938925649,4.949756626,4.899540277,4.924156134,472543936,2363024816
510300.SH,2021/5/14,15:00,4.942864186,5.050189325,4.915294426,5.048220056,848963040,4316323584
510300.SH,2021/5/17,15:00,5.044281519,5.134867875,5.038373713,5.108282748,667255520,3464215776
510300.SH,2021/5/18,15:00,5.119113726,5.131913972,5.087605428,5.110252017,283458832,1469848176
510300.SH,2021/5/19,15:00,5.100405674,5.116159823,5.073820548,5.096467137,393359472,2034732848
510300.SH,2021/5/20,15:00,5.0925286,5.126006166,5.072835914,5.110252017,270139104,1400149088
510300.SH,2021/5/21,15:00,5.117144457,5.146683486,5.044281519,5.056097131,541063504,2791300048
510300.SH,2021/5/24,15:00,5.056097131,5.084651525,5.017696393,5.083666891,349612784,1796637072
510300.SH,2021/5/25,15:00,5.083666891,5.255977893,5.083666891,5.245146916,1536160144,8133780736
510300.SH,2021/5/26,15:00,5.249085453,5.270747408,5.234315939,5.24613155,486861120,2596720928
510300.SH,2021/5/27,15:00,5.238254476,5.311117414,5.214623253,5.264839602,530753504,2835202992
510300.SH,2021/5/28,15:00,5.263854968,5.290440094,5.21856179,5.250070088,345621856,1843452032
510300.SH,2021/5/31,15:00,5.247116185,5.256962528,5.208715447,5.255977893,328603024,1745986736
